PID,Condition,Condition Order,Scenario,Scenraii Order,Success,Score,Help,Help(Unnecessary),COMM-Success,COMM-Score,COMM(Not adressed)-Reaction-Success,COMM(Not adressed)-Reaction-Failure,COMM-Reaction-Success,COMM-Reaction-Failure,COMM-Completion-Success,COMM-Completion-Failure,RESMAN-Success,RESMAN-Score,TRACK-Success,TRACK-Score,TRACK-Score(Adressed to Experimenter),TRACK-Score(Adressed to Participant),TRACK-Help,TRACK-Help %,TRACK-Help(Unnecessary),TRACK-Help(Unnecessary) %,SYSMON-Success,SYSMON-Score,SYSMON-Score(adressed to experimenter),SYSMON-Score(adressed to participant),SYSMON-AvgResponseTime(adressed to experimenter),SYSMON-AvgResponseTime(adressed to participant),SYSMON-AvgCompletionTime(adressed to experimenter),SYSMON-AvgCompletionTime(adressed to participant),SYSMON-Help,SYSMON-Help %,SYSMON-Help(Unnecessary),SYSMON-Help(Unnecessary) %,PID, Gender, Age, Video Games, 3D Environments, Immersive technologies, Did the bars helped ?, Evaluation of the bars, Did the icons helped ?, Evaluation of the icons, Did you always know when your partner needed help ? (with indicators), Did you always know when your partner needed help ? (without indicators), Could you always help your parnter ? (with indicators), Could you always help your parnter ? (without indicators), Remarks
1,With Panels,1,1,1,0.867458217592593,0.803006481481481,73.6111111111111,2.08333333333333,1,0.25,26.697325,-1,7.045675,-1,6.044825,-1,0.9688,0.2422,0.6306625,0.157665625,0.10699375,0.050671875,4,100,0,0,0.87037037037037,0.153140856481482,0.129426608796296,0.023714247685185,3.11171666666667,9.85921666666667,2.46124166666667,7.05188333333333,17,47.2222222222222,3,4.16666666666667,1,M,19,4,4,4,2,3,4,3,1,1,1,1,"A notification system would enhance collaboration, I would not have to always monitor the icons (cf Among Us)"
2,With Panels,2,2,2,0.891022222222222,0.837334560185185,81.9444444444444,12.5,0.875,0.223958333333333,10.48495,-1,8.56056666666667,12.9152,6.31993333333333,9.8625,1,0.25,0.8002,0.20005,0.120265625,0.079784375,4,100,1,25,0.888888888888889,0.163326226851852,0.137767673611111,0.025558553240741,2.34674166666667,12.8316833333333,2.30120833333333,2.54548333333333,23,63.8888888888889,0,0,2,M,24,4,4,0,3,4,4,3,1,0,1,1,"Add sound to the indocators, make them blink near a critical threshold, make the panel always facing the camera"
3,With Panels,2,1,2,0.930918865740741,0.872202546296296,87.5,50,1,0.25,3.152575,-1,7.838125,-1,2.789675,-1,0.9892,0.2473,0.7715125,0.192878125,0.1229625,0.069915625,4,100,4,100,0.962962962962963,0.182024421296296,0.135632939814815,0.046391481481482,2.48104166666667,4.6774,2.566525,7.22901666666667,27,75,0,0,3,M,20,1,0,0,2,3,1,2,0,0,1,1,
4,With Panels,1,2,1,0.729024768518519,0.732332662037037,81.9444444444444,0,0.75,0.239583333333333,5.5396,-1,8.255,12.5783,4.0431,11.9912,0.6326,0.15815,0.709425,0.17735625,0.122303125,0.055053125,4,100,0,0,0.824074074074074,0.157243078703704,0.14115099537037,0.016092083333333,2.12888333333333,15.1351333333333,1.83388333333333,2.01485,23,63.8888888888889,0,0,4,F,22,4,4,0,0,1,1,2,0,1,1,1,"I restrained my movements due to the proximity with my collaborator's avatar (even knowing we were physically distant). The panels being face to face, I just had to turn my head which was less demanding than looking at the indicators."
5,With Panels,1,1,1,0.962215625,0.907888784722222,100,0,1,0.25,3.05826,-1,5.72486666666667,-1,4.22863333333333,-1,0.9919,0.247975,0.8569625,0.214240625,0.123253125,0.0909875,4,100,0,0,1,0.195673159722222,0.146900925925926,0.048772233796296,1.45611666666667,7.02011666666667,1.66485833333333,2.47461666666667,36,100,0,0,5,M,21,3,2,2,2,3,4,4,1,0,1,1,
6,With Panels,2,2,2,0.931281481481481,0.872627581018518,80.5555555555556,19.4444444444444,1,0.25,2.8749,-1,6.861375,-1,4.22935,-1,0.996,0.249,0.8032,0.2008,0.119803125,0.080996875,4,100,1,25,0.925925925925926,0.172827581018518,0.137126087962963,0.035701493055556,2.49774166666667,8.81965,1.98835833333333,5.82136666666667,22,61.1111111111111,10,13.8888888888889,6,M,18,1,3,1,0,1,3,3,0,0,1,1,"Indicators were useful for the tracking and system monitoring task, less for the communication and resource management tasks."
7,With Panels,2,1,2,0.795859375,0.738261944444445,100,12.5,1,0.25,3.66011428571429,-1,6.1853,-1,4.0517,-1,0.4469,0.111725,0.7365375,0.184134375,0.12125625,0.062878125,4,100,1,25,1,0.192402569444444,0.14848068287037,0.043921886574074,1.43181666666667,8.38078333333334,1.57805,2.12748333333333,36,100,0,0,7,F,30,2,3,3,3,3,4,4,1,0,1,0,
8,With Panels,1,2,1,0.928625810185185,0.873233622685185,86.1111111111111,0,0.875,0.239583333333333,2.4006,-1,6.99114,10.017,6.1303,10.5279,0.9871,0.246775,0.8616625,0.215415625,0.120925,0.094490625,3,75,0,0,0.990740740740741,0.171459664351852,0.143952847222222,0.02750681712963,1.69449166666667,11.942,2.096325,3.43343333333333,35,97.2222222222222,0,0,8,M,27,4,4,1,4,3,4,4,1,0,1,1,
9,With Panels,1,1,1,0.793823148148148,0.769721666666667,79.1666666666667,0,0.875,0.244791666666667,3.20248,-1,8.8661,6.4016,7.363,18.1522,0.7202,0.18005,0.7375,0.184375,0.124853125,0.059521875,4,100,0,0,0.842592592592593,0.160505,0.140164305555556,0.020340694444445,2.21706666666667,13.3845,1.85185833333333,4.21276666666667,21,58.3333333333333,0,0,9,M,23,1,0,0,0,2,4,4,1,0,1,0,
10,With Panels,2,2,2,0.840317361111111,0.854339236111111,91.6666666666667,12.5,0.75,0.244791666666667,2.93485,-1,7.6427,9.92975,6.04875,30.09735,0.8447,0.211175,0.822125,0.20553125,0.108678125,0.096853125,4,100,1,25,0.944444444444444,0.192841319444444,0.146039421296296,0.046801898148148,1.72805,7.44008333333333,1.60410833333333,3.0486,30,83.3333333333333,0,0,10,F,22,2,3,3,2,0,2,2,0,0,0,0,Icons are too small
11,With Panels,2,1,2,0.951559375,0.911724421296296,100,61.1111111111111,1,0.25,3.08958,-1,6.86556666666667,-1,2.81246666666667,-1,1,0.25,0.8062375,0.201559375,0.123334375,0.078225,4,100,4,100,1,0.210165046296296,0.150485717592593,0.059679328703704,1.12211666666667,3.81335,1.81745,3.40376666666667,36,100,16,22.2222222222222,11,M,23,1,1,1,0,0,2,2,0,0,1,1,
12,With Panels,1,2,1,0.900225,0.851833576388889,100,50,1,0.25,4.00193333333333,-1,7.39062,-1,4.42352,-1,0.8832,0.2208,0.7177,0.179425,0.116634375,0.062790625,4,100,4,100,1,0.201608576388889,0.147981770833333,0.053626805555556,1.42825833333333,5.5138,1.778975,3.96381666666667,36,100,0,0,12,M,24,4,4,4,1,1,4,4,1,1,1,1,
13,With Panels,1,1,1,0.894371875,0.874728923611111,87.5,0,0.75,0.213541666666667,3.68458333333333,-1,-1,5.2716,-1,6.5039,0.9965,0.249125,0.8309875,0.207746875,0.12419375,0.083553125,3,75,0,0,1,0.204315381944444,0.15159724537037,0.052718136574074,1.12998333333333,5.45943333333333,1.458825,4.16711666666667,36,100,0,0,13,F,21,3,4,0,2,3,2,4,0,0,0,0,
14,With Panels,2,2,2,0.622867708333333,0.659237418981481,62.5,3.47222222222222,0.125,0.119791666666667,3.9434,40.0232,-1,6.8234,-1,33.197,0.7948,0.1987,0.7383375,0.184584375,0.123434375,0.06115,3,75,0,0,0.833333333333333,0.156161377314815,0.141738391203704,0.014422986111111,1.77356666666667,13.6185666666667,2.33069166666667,4.55933333333333,18,50,5,6.94444444444444,14,M,65,0,1,0,0,0,3,1,0,0,0,0,
15,With Panels,2,1,2,0.670252777777778,0.648148784722222,70.8333333333333,25,0.25,0.072916666666667,-1,40.03178,7.09785,9.4727,10.01145,7.6805,0.7591,0.189775,0.8108,0.2027,0.121075,0.081625,4,100,2,50,0.861111111111111,0.182757118055556,0.149715578703704,0.033041539351852,1.218475,10.5428833333333,1.660025,2.18026666666667,15,41.6666666666667,0,0,15,F,34,4,1,0,0,2,4,3,1,0,1,0,
16,With Panels,1,2,1,0.938878125,0.926683125,91.6666666666667,25,0.875,0.244791666666667,3.72654,-1,6.525,6.3956,6.1087,6.2666,0.9564,0.2391,0.9241125,0.231028125,0.122753125,0.108275,4,100,2,50,1,0.211763333333333,0.151839699074074,0.059923634259259,0.994583333333333,4.2852,1.57535833333333,2.91185,30,83.3333333333333,0,0,16,M,38,3,3,0,1,1,2,1,1,1,1,1,Too much complex icons
17,With Panels,1,1,1,0.91305787037037,0.867641701388889,88.8888888888889,40.9722222222222,0.875,0.244791666666667,6.09122,-1,7.5519,10.864,7.3423,16.0579,0.9583,0.239575,0.83745,0.2093625,0.116746875,0.092615625,4,100,3,75,0.981481481481482,0.173912534722222,0.132046365740741,0.041866168981482,2.56701666666667,8.36773333333334,2.6622,2.83193333333333,28,77.7777777777778,5,6.94444444444444,17,M,21,3,0,0,3,3,2,2,1,0,0,0,White-Red contrast not enough
18,With Panels,2,2,2,0.822270486111111,0.84162599537037,83.3333333333333,12.5,0.625,0.208333333333333,2.61406666666667,-1,8.42025,10.0553333333333,12.83225,12.9542666666667,0.8145,0.203625,0.9051375,0.226284375,0.12376875,0.102515625,4,100,1,25,0.944444444444444,0.203383287037037,0.152603356481481,0.050779930555556,1.03096666666667,7.04338333333333,1.49904166666667,1.62746666666667,24,66.6666666666667,0,0,18,F,21,1,0,0,2,1,2,2,1,1,1,1,Icons are too small
19,With Panels,2,1,2,0.879904861111111,0.874897048611111,91.6666666666667,3.47222222222222,0.875,0.244791666666667,3.9395,-1,7.11846666666667,6.6551,6.15526666666667,9.5759,0.9385,0.234625,0.761675,0.19041875,0.12315625,0.0672625,4,100,0,0,0.944444444444444,0.205061631944444,0.152051585648148,0.053010046296296,0.932308333333333,6.0198,1.68001666666667,2.49368333333333,30,83.3333333333333,5,6.94444444444444,19,M,37,1,1,1,2,2,1,1,1,1,0,0,"too many indicators, maybe simplify them or try with fewer"
20,With Panels,1,2,1,0.917172685185185,0.889752268518519,98.6111111111111,28.4722222222222,0.875,0.244791666666667,4.46374,-1,7.1981,8.409,3.3694,5.4079,1,0.25,0.80295,0.2007375,0.125,0.0757375,4,100,2,50,0.990740740740741,0.194223101851852,0.150151689814815,0.044071412037037,1.0944,7.87688333333333,1.778425,3.2485,35,97.2222222222222,5,6.94444444444444,20,F,24,0,1,1,2,0,3,4,1,1,1,1,Add sound notification
1,Without Panels,2,2,2,0.858070833333333,0.824671134259259,62.5,13.8888888888889,0.875,0.21875,11.721,40.027,5.94955,-1,4.3734,-1,0.991,0.24775,0.73295,0.1832375,0.119684375,0.063553125,3,75,1,25,0.833333333333333,0.174933634259259,0.138282349537037,0.036651284722222,1.86895,8.30643333333333,3.82321666666667,3.96628333333333,18,50,2,2.77777777777778,1,M,19,4,4,4,2,3,4,3,1,1,1,1,"A notification system would enhance collaboration, I would not have to always monitor the icons (cf Among Us)"
2,Without Panels,1,1,1,0.738030902777778,0.688027673611111,70.8333333333333,0,0.375,0.109375,-1,40.042625,8.12276666666667,11.1657,8.95263333333333,4.3516,0.9842,0.24605,0.7318125,0.182953125,0.117521875,0.06543125,3,75,0,0,0.861111111111111,0.149649548611111,0.133254930555556,0.016394618055556,2.664425,11.3363,2.7055,6.42173333333333,24,66.6666666666667,0,0,2,M,24,4,4,0,3,4,4,3,1,0,1,1,"Add sound to the indocators, make them blink near a critical threshold, make the panel always facing the camera"
3,Without Panels,1,2,1,0.879262615740741,0.875414328703704,87.5,44.4444444444444,0.75,0.244791666666667,2.8834,-1,6.2538,8.26535,8.582775,18.19975,0.9946,0.24865,0.8094875,0.202371875,0.123078125,0.07929375,4,100,3,75,0.962962962962963,0.179600787037037,0.138897291666667,0.04070349537037,1.721325,8.38665,3.17909166666667,3.68131666666667,27,75,10,13.8888888888889,3,M,20,1,0,0,2,3,1,2,0,0,1,1,
4,Without Panels,2,1,2,0.966509375,0.913320381944444,100,29.1666666666667,1,0.25,4.59788333333333,-1,6.41845,-1,6.6515,-1,1,0.25,0.8660375,0.216509375,0.122309375,0.0942,4,100,2,50,1,0.196811006944444,0.140629699074074,0.05618130787037,2.08248333333333,4.81888333333333,1.95984166666667,3.65381666666667,36,100,6,8.33333333333333,4,F,22,4,4,0,0,1,1,2,0,1,1,1,"I restrained my movements due to the proximity with my collaborator's avatar (even knowing we were physically distant). The panels being face to face, I just had to turn my head which was less demanding than looking at the indicators."
5,Without Panels,2,2,2,0.972809375,0.912651331018518,100,0,1,0.25,3.87223333333333,-1,7.67955,-1,0,-1,0.9746,0.24365,0.9166375,0.229159375,0.125,0.104159375,4,100,0,0,1,0.189841956018519,0.144455381944444,0.045386574074074,1.73511666666667,7.61286666666667,1.81748333333333,2.59841666666667,36,100,0,0,5,M,21,3,2,2,2,3,4,4,1,0,1,1,
6,Without Panels,1,1,1,0.758146180555556,0.766453576388889,27.7777777777778,12.5,0.75,0.229166666666667,3.1373,-1,6.41196,9.9939,4.71612,16.2436,0.8499,0.212475,0.7104625,0.177615625,0.12486875,0.052746875,2,50,1,25,0.722222222222222,0.147196284722222,0.142958842592593,0.00423744212963,1.90896666666667,18.7097333333333,1.95586666666667,0.524900000000001,2,5.55555555555556,0,0,6,M,18,1,3,1,0,1,3,3,0,0,1,1,"Indicators were useful for the tracking and system monitoring task, less for the communication and resource management tasks."
7,Without Panels,1,2,1,0.74233125,0.740688368055556,100,37.5,0.75,0.239583333333333,4.03686666666667,-1,6.647,12.4584,17.2204,18.9418,0.5834,0.14585,0.635925,0.15898125,0.11530625,0.043675,4,100,3,75,1,0.196273784722222,0.146401759259259,0.049872025462963,1.6155,6.05111666666667,1.74466666666667,3.983,36,100,0,0,7,F,30,2,3,3,3,3,4,4,1,0,1,0,
8,Without Panels,2,1,2,0.920892361111111,0.898496053240741,91.6666666666667,0,0.875,0.234375,2.179125,0,5.4591,-1,5.29153333333333,-1,0.9965,0.249125,0.867625,0.21690625,0.1244625,0.09244375,4,100,0,0,0.944444444444444,0.198089803240741,0.15201650462963,0.046073298611111,1.0642,7.54203333333333,1.326925,2.55996666666667,30,83.3333333333333,0,0,8,M,27,4,4,1,4,3,4,4,1,0,1,1,
9,Without Panels,2,2,2,0.812048032407407,0.768180289351852,81.9444444444444,25,0.875,0.223958333333333,2.27515,-1,10.7904666666667,6.4546,8.52213333333333,14.4946,0.8525,0.213125,0.6410625,0.160265625,0.104959375,0.05530625,4,100,2,50,0.87962962962963,0.170831331018518,0.145760798611111,0.025070532407407,1.65409166666667,12.7285,2.02365833333333,2.08746666666667,23,63.8888888888889,0,0,9,M,23,1,0,0,0,2,4,4,1,0,1,0,
10,Without Panels,1,1,1,0.889178472222222,0.866764594907407,81.9444444444444,16.6666666666667,0.875,0.244791666666667,3.32324,-1,6.3428,8.8703,6.39635,10.7779,0.9433,0.235825,0.849525,0.21238125,0.1237,0.08868125,4,100,1,25,0.888888888888889,0.173766678240741,0.143311701388889,0.030454976851852,1.5659,11.7369833333333,2.446325,2.59476666666667,23,63.8888888888889,6,8.33333333333333,10,F,22,2,3,3,2,0,2,2,0,0,0,0,Icons are too small
11,Without Panels,1,2,1,0.895881365740741,0.874818935185185,87.5,15.9722222222222,0.875,0.244791666666667,3.061625,-1,8.13226666666667,8.3163,2.16763333333333,6.3102,0.9289,0.232225,0.8166625,0.204165625,0.124203125,0.0799625,4,100,1,25,0.962962962962963,0.193636643518518,0.149974953703704,0.043661689814815,1.0728,6.76545,1.936575,8.31235,27,75,5,6.94444444444444,11,M,23,1,1,1,0,0,2,2,0,0,1,1,
12,Without Panels,2,1,2,0.9452375,0.898071550925926,100,3.47222222222222,1,0.25,2.61775,-1,8.5135,-1,3.5524,-1,0.9196,0.2299,0.86135,0.2153375,0.125,0.0903375,4,100,0,0,1,0.202834050925926,0.153626493055556,0.04920755787037,0.956225,7.15126666666667,1.36715,2.12301666666667,36,100,5,6.94444444444444,12,M,24,4,4,4,1,1,4,4,1,1,1,1,
13,Without Panels,2,2,2,0.9040625,0.910651400462963,98.6111111111111,0.694444444444444,0.75,0.234375,5.82006,-1,6.4425,6.2231,6.211,7.96655,0.9049,0.226225,0.96135,0.2403375,0.12046875,0.11986875,4,100,0,0,1,0.209713900462963,0.147149756944444,0.062564143518519,1.50718333333333,3.31351666666667,1.68486666666667,2.92581666666667,35,97.2222222222222,1,1.38888888888889,13,F,21,3,4,0,2,3,2,4,0,0,0,0,
14,Without Panels,1,1,1,0.487150810185185,0.580867777777778,45.8333333333333,0,0.375,0.213541666666667,4.55546666666667,-1,-1,7.96152,-1,32.0679,0.1861,0.046525,0.6467625,0.161690625,0.125,0.036690625,3,75,0,0,0.740740740740741,0.159110486111111,0.132912233796296,0.026198252314815,3.26741666666667,13.3115666666667,1.68305833333333,0.679916666666667,6,16.6666666666667,0,0,14,M,65,0,1,0,0,0,3,1,0,0,0,0,
15,Without Panels,1,2,1,0.528043518518518,0.545524965277778,73.6111111111111,0.694444444444444,0.375,0.140625,-1,40.0317333333333,10.5337666666667,10.22635,9.65796666666667,11.67305,0.0746,0.01865,0.8385,0.209625,0.1239625,0.0856625,4,100,0,0,0.824074074074074,0.176624965277778,0.148266759259259,0.028358206018519,1.2487,11.9099166666667,1.77185833333333,2.714,17,47.2222222222222,1,1.38888888888889,15,F,34,4,1,0,0,2,4,3,1,0,1,0,
16,Without Panels,2,1,2,0.96235625,0.907216967592593,100,40.9722222222222,1,0.25,3.35988333333333,-1,6.8485,-1,5.6562,-1,0.9732,0.2433,0.876225,0.21905625,0.115584375,0.103471875,4,100,2,50,1,0.194860717592593,0.13575099537037,0.059109722222222,2.430775,4.7467,2.68078333333333,2.25728333333333,36,100,23,31.9444444444444,16,M,38,3,3,0,1,1,2,1,1,1,1,1,Too much complex icons
17,Without Panels,2,2,2,0.878564236111111,0.838374560185185,91.6666666666667,0,0.875,0.244791666666667,5.28185,-1,8.81602,7.181,6.5921,3.0238,0.9144,0.2286,0.7804125,0.195103125,0.125,0.070103125,4,100,0,0,0.944444444444444,0.169879768518519,0.151897939814815,0.017981828703704,1.05455,14.6875166666667,1.49718333333333,1.93583333333333,30,83.3333333333333,0,0,17,M,21,3,0,0,3,3,2,2,1,0,0,0,White-Red contrast not enough
18,Without Panels,1,1,1,0.849589930555556,0.848642916666667,95.8333333333333,0,0.625,0.197916666666667,3.796175,-1,5.7146,9.95343333333334,5.451,12.4260666666667,0.906,0.2265,0.8951375,0.223784375,0.12394375,0.099840625,4,100,0,0,0.972222222222222,0.200441875,0.153474965277778,0.046966909722222,0.880683333333333,7.19051666666667,1.51800833333333,3.2108,33,91.6666666666667,0,0,18,F,21,1,0,0,2,1,2,2,1,1,1,1,Icons are too small
19,Without Panels,1,2,1,0.85189375,0.825591944444444,100,16.6666666666667,0.75,0.213541666666667,4.3909,-1,8.19705,3.99735,8.0146,4.30765,0.8294,0.20735,0.828175,0.20704375,0.123465625,0.083578125,4,100,1,25,1,0.197656527777778,0.149275833333333,0.048380694444445,1.27765,6.0777,1.65008333333333,4.33961666666667,36,100,6,8.33333333333333,19,M,37,1,1,1,2,2,1,1,1,1,0,0,"too many indicators, maybe simplify them or try with fewer"
20,Without Panels,2,1,2,0.9789,0.940172430555555,100,1.38888888888889,1,0.25,4.53378333333333,-1,5.4503,-1,7.17735,-1,0.9896,0.2474,0.926,0.2315,0.125,0.1065,4,100,0,0,1,0.211272430555555,0.152387928240741,0.058884502314815,0.967916666666667,4.03961666666667,1.55161666666667,4.26555,36,100,2,2.77777777777778,20,F,24,0,1,1,2,0,3,4,1,1,1,1,Add sound notification
